relation;source;target;weight
RelatedTo;řečený;called;1.0
RelatedTo;slout;called;1.0
RelatedTo;zvaný;called;1.0
RelatedTo;aufgerufen;called;1.0
RelatedTo;berufen;called;1.0
DefinedAs;Calls;plural form o;1.0
DefinedAs;calls;present first-person tense of call;1.0
FormOf;calls;call;1.0
FormOf;calls;call;1.0
FormOf;calls;call;1.0
FormOf;calls;call;1.0
RelatedTo;هاتف;calls;1.0
RelatedTo;call and response;calls;1.0
RelatedTo;calls;call;1.0
RelatedTo;calls;call;1.0
RelatedTo;strap strategy;calls;1.0
RelatedTo;ყვირილი;calls;1.0
RelatedTo;oukapai;calls;1.0
RelatedTo;phone;calls;0.2610000000000001
ExternalURL;calls;calls;0.25
ExternalURL;calls;calls;0.25
RelatedTo;dear;calls;0.13900000000000023
Synonym;Campbell;Joseph Campbell;2.0
DerivedFrom;campbell county;campbell;1.0
DerivedFrom;campbellian;campbell;1.0
DerivedFrom;campbellism;campbell;1.0
DerivedFrom;campbellite;campbell;1.0
EtymologicallyDerivedFrom;campbell;caimbeul;1.0
RelatedTo;campbell;cam beul;1.0
RelatedTo;mac arthur;campbell;1.0
Synonym;坎貝爾;campbell;1.0
Synonym;坎贝尔;campbell;1.0
Synonym;金宝;campbell;1.0
Synonym;金寶;campbell;1.0
